LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,TOTAL_BILL,TOTAL_PAY,PAYMENT_RATIO,AVG_BILL_AMT,AVG_PAY_AMT,LATE_PAYMENT_COUNT,CreditDefault
500000,1,1,1,41,-1,-1,2,2,-1,2,390,780,390,0,3280,2500,780,0,0,3280,0,0,7340,4060,0.553133514986376,1223.3333333333333,676.6666666666666,3,0
230000,2,2,1,29,0,0,0,0,0,0,64982,44908,51535,24607,28279,48934,3000,11000,15000,13000,36000,3000,263245,81000,0.30769815191171723,43874.166666666664,13500.0,0,0
100000,1,3,2,32,0,0,0,0,-1,-1,54483,45433,40870,10726,1121,61067,2460,2220,1400,1121,61067,2210,213700,70478,0.32979878334113244,35616.666666666664,11746.333333333334,0,0
70000,1,2,2,44,2,2,2,2,2,2,43314,44325,45375,44350,46996,47951,2025,2051,0,3697,1853,1910,272311,11536,0.042363327225121275,45385.166666666664,1922.6666666666667,6,1
190000,2,2,2,28,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,828,0,828,82800.0,0.0,138.0,1,0
50000,1,3,2,37,0,0,0,0,0,0,28951,29631,29177,29544,19863,18812,1765,1653,1400,0,0,300,155978,5118,0.03281231968610958,25996.333333333332,853.0,0,0
150000,2,3,1,60,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1
20000,2,3,1,56,0,0,0,0,0,0,12685,13634,12115,12356,12623,13905,1188,1201,442,466,1500,421,77318,5218,0.06748751907705838,12886.333333333334,869.6666666666666,0,0
80000,2,1,2,23,-1,-1,-2,-1,-1,-1,326,-326,0,652,0,326,0,652,652,0,326,652,978,2282,2.3333333333333335,163.0,380.3333333333333,0,0
150000,2,1,2,41,-2,-2,-2,-2,-1,-1,9682,-399,0,0,399,150,399,399,0,399,150,200,9832,1547,0.1573433685923515,1638.6666666666667,257.8333333333333,0,0
30000,2,2,2,26,0,0,-1,0,0,0,17341,-1030,29718,27417,28489,28427,485,31509,1500,1502,1500,3000,130362,39496,0.3029717248891548,21727.0,6582.666666666667,0,0
80000,2,3,1,34,0,0,2,2,2,0,43321,47586,48525,49423,46132,47233,5000,2000,2000,0,2000,2000,282220,13000,0.046063354829565584,47036.666666666664,2166.6666666666665,3,1
130000,1,1,2,28,0,0,0,0,0,-2,91092,94581,94580,30000,0,0,5000,3000,4000,0,0,0,310253,12000,0.038678111089981405,51708.833333333336,2000.0,0,0
470000,1,2,1,32,0,0,0,0,0,0,176838,181224,143173,145293,148871,152309,9000,7000,6000,6000,6000,6000,947708,40000,0.04220709332410405,157951.33333333334,6666.666666666667,0,0
200000,1,1,2,38,-2,-2,-2,-2,-2,-2,3388,-12,1081,1884,2089,7097,0,1093,1893,2097,7132,488,15527,12703,0.8181232691440716,2587.8333333333335,2117.1666666666665,0,1
30000,2,3,2,47,2,2,2,0,0,2,11652,12461,11970,12981,14077,14367,1300,0,1214,1310,660,0,77508,4484,0.05785209268720648,12918.0,747.3333333333334,4,1
150000,2,1,1,51,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0
230000,2,2,1,55,0,0,0,0,0,0,7302,4561,5975,11072,10021,14431,2001,2001,6018,5007,5010,7053,53362,27090,0.5076646302612345,8893.666666666666,4515.0,0,0
230000,2,1,2,33,0,0,0,0,0,0,228639,226778,184466,157857,131706,62237,10075,10135,6034,10000,3000,5000,991683,44244,0.044615063482988014,165280.5,7374.0,0,0
230000,1,1,2,27,-1,-1,-1,-1,-1,-1,5652,7652,2062,2007,2104,394,7662,2066,2007,2108,394,3214,19871,17451,0.8782144834180464,3311.8333333333335,2908.5,0,0
200000,2,2,1,29,0,0,0,0,0,0,73700,73624,73928,72060,72393,72969,3304,3815,3004,3006,4012,3012,438674,20153,0.04594072135572202,73112.33333333333,3358.8333333333335,0,0
100000,2,1,2,24,0,0,0,0,0,0,76025,68016,63520,64825,65725,67183,3000,3600,3000,2500,2600,3000,405294,17700,0.043672001065892904,67549.0,2950.0,0,0
80000,2,3,2,28,-1,-1,-1,-2,-2,-2,4280,2800,0,0,0,0,2800,0,0,0,0,0,7080,2800,0.3954802259887006,1180.0,466.6666666666667,0,0
180000,2,1,1,31,1,-2,-2,-1,-1,-2,0,0,0,2537,0,0,0,0,2537,0,0,0,2537,2537,1.0,422.8333333333333,422.8333333333333,1,0
220000,1,2,1,35,0,0,-1,-1,-1,-1,112460,29300,8500,0,8500,8535,8500,8500,0,8500,8535,177000,167295,211035,1.2614543172240653,27882.5,35172.5,0,0
30000,1,2,2,28,2,2,2,2,0,0,35991,35751,34639,32493,32001,33064,2000,1200,0,1500,3100,0,203939,7800,0.03824673064004433,33989.833333333336,1300.0,4,1
80000,1,3,1,42,0,0,0,-2,-1,0,6959,3959,-41,-41,1759,4703,3000,0,0,1800,3000,3000,17298,10800,0.6243496357960457,2883.0,1800.0,0,0
210000,2,1,1,44,0,0,0,0,0,0,89519,50144,52148,50723,43200,17556,20033,10000,5012,1251,2007,10125,303290,48428,0.15967555804675393,50548.333333333336,8071.333333333333,0,0
300000,2,1,1,34,2,0,0,2,0,0,74917,70878,68463,52987,46867,16335,3028,4560,78,3171,5015,5047,330447,20899,0.06324463529703704,55074.5,3483.1666666666665,2,1
50000,2,3,1,40,2,2,0,0,0,0,49157,47990,38426,7816,7859,7979,0,2050,500,500,400,400,159227,3850,0.02417931632198057,26537.833333333332,641.6666666666666,2,1
390000,2,1,2,29,0,0,0,0,0,0,196172,196262,157388,123706,115813,112143,9599,10054,4242,4346,5000,5000,901484,38241,0.04242005404422042,150247.33333333334,6373.5,0,0
20000,2,2,2,24,0,0,0,0,0,0,13867,14834,15931,15850,16226,14411,1500,1450,369,429,288,250,91119,4286,0.04703739066495462,15186.5,714.3333333333334,0,0
180000,1,1,2,34,-1,-1,-1,-1,-1,-1,4400,2990,3762,5231,2092,3395,3018,3772,5254,2098,3403,215,21870,17760,0.8120713305898491,3645.0,2960.0,0,0
20000,1,2,1,33,0,0,0,0,0,0,4128,5550,6599,6839,7228,7457,1500,1300,500,500,500,1000,37801,5300,0.1402079310071162,6300.166666666667,883.3333333333334,0,1
400000,2,1,2,32,0,0,0,0,0,0,48419,51886,53291,57265,61035,64879,5000,3000,5000,5000,5000,5000,336775,28000,0.08314156335832529,56129.166666666664,4666.666666666667,0,0
30000,1,2,1,39,0,0,0,0,0,0,20893,22206,19273,16469,14670,11214,2007,2000,2000,417,1500,1500,104725,9424,0.08998806397708284,17454.166666666668,1570.6666666666667,0,0
20000,1,2,2,34,0,0,0,0,-1,0,15494,11950,11292,10790,780,780,1488,1220,608,780,0,0,51086,4096,0.08017852249148495,8514.333333333334,682.6666666666666,0,0
610000,1,2,1,30,0,0,0,0,0,0,50724,8723,6245,7089,8059,8666,2134,1210,2000,2000,1666,1500,89506,10510,0.1174222957120193,14917.666666666666,1751.6666666666667,0,0
30000,2,6,1,49,0,0,0,0,0,0,26305,27307,13294,14069,14518,15025,1500,1500,1000,676,900,900,110518,6476,0.05859678966322228,18419.666666666668,1079.3333333333333,0,0
150000,2,2,2,23,-2,-1,0,0,0,0,956,66470,66187,65419,61645,64189,66470,2451,2543,5000,4189,10000,324866,90653,0.27904736106579325,54144.333333333336,15108.833333333334,0,0
70000,2,2,2,22,0,0,0,0,0,0,57889,33868,33390,26457,27165,27562,1592,1497,947,1134,1000,1021,206331,7191,0.03485176730593076,34388.5,1198.5,0,0
70000,2,3,1,38,0,0,0,0,0,0,24758,25581,16105,17571,18330,16268,1273,1534,2000,1000,1000,1000,118613,7807,0.06581909234232336,19768.833333333332,1301.1666666666667,0,0
340000,2,1,2,29,0,0,0,0,0,0,82922,81084,74530,66897,64699,35540,3600,2962,2500,1800,1000,1000,405672,12862,0.031705417184326255,67612.0,2143.6666666666665,0,0
60000,2,2,2,34,2,0,0,0,0,-1,60707,59675,59690,59513,28494,29149,2102,2922,1586,570,31110,1212,297228,39502,0.1329013417309271,49538.0,6583.666666666667,1,0
140000,2,1,1,35,0,0,0,0,0,0,92924,88331,83421,79088,73360,67700,4691,4251,4500,3000,2500,2300,484824,21242,0.04381383759879874,80804.0,3540.3333333333335,0,0
500000,2,2,1,53,-1,-1,-1,-1,0,-1,7855,17481,12021,132906,122256,37380,17512,12021,132906,0,37380,3500,329899,203319,0.6163068090536801,54983.166666666664,33886.5,0,0
80000,2,2,2,27,0,0,0,0,0,0,80088,81371,79183,64862,58651,55230,4791,2418,2118,2066,2150,3000,419385,16543,0.039445855240411554,69897.5,2757.1666666666665,0,0
20000,1,2,1,38,0,0,0,0,0,-1,17973,19367,19559,18240,17928,150,1699,1460,626,1750,150,0,93217,5685,0.06098672988832509,15536.166666666666,947.5,0,1
180000,1,3,1,43,-1,-1,-1,-1,-1,-1,3690,15618,4685,238,218,6690,15682,4699,238,218,6710,11949,31139,39496,1.2683772760846528,5189.833333333333,6582.666666666667,0,0
320000,2,1,2,35,-2,-2,-2,-2,-2,-2,0,0,2500,0,0,0,0,2500,0,0,0,0,2500,2500,1.0,416.6666666666667,416.6666666666667,0,1
20000,1,2,2,28,1,2,2,2,0,0,15764,15718,17164,16594,18158,19554,500,2000,0,2000,1700,0,102952,6200,0.06022223949024788,17158.666666666668,1033.3333333333333,4,0
50000,2,2,2,28,0,0,0,0,2,0,23318,24327,25360,27929,27184,27752,1398,1431,3000,0,1155,1025,155870,8009,0.051382562391736705,25978.333333333332,1334.8333333333333,1,0
120000,2,2,2,46,0,0,0,0,0,0,68168,69187,68466,42941,40718,41613,2650,2884,2018,1411,1504,1500,331093,11967,0.03614392330855681,55182.166666666664,1994.5,0,0
280000,2,1,2,27,-2,-2,-2,-2,-2,-2,-5,-5,-5,8164,0,1133,0,0,8169,0,231133,3300,9282,242602,26.13682396035337,1547.0,40433.666666666664,0,0
150000,2,1,2,34,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1
140000,2,2,1,37,0,0,0,0,0,0,136650,137562,141347,134503,137015,136581,5420,6500,5000,5200,5100,5000,823658,32220,0.039118177690254934,137276.33333333334,5370.0,0,0
100000,1,3,1,56,1,2,2,2,2,2,51021,53878,54046,52193,55151,55873,4388,2000,0,4212,2126,0,322162,12726,0.03950186552107325,53693.666666666664,2121.0,6,0
250000,2,2,2,29,0,0,0,0,0,0,46948,46351,33227,33732,32245,37589,2500,10000,3000,3000,8000,0,230092,26500,0.11517132277523773,38348.666666666664,4416.666666666667,0,0
50000,1,3,1,48,-1,0,0,0,0,0,50899,50527,50375,46952,50343,48831,2000,2000,2000,5001,5000,5021,297927,21022,0.070560909216016,49654.5,3503.6666666666665,0,0
200000,2,1,2,29,-1,-1,-1,-1,0,0,5967,1892,26995,7601,6481,1610,1897,26995,7606,380,0,0,50546,36878,0.7295928461203656,8424.333333333334,6146.333333333333,0,0
200000,2,2,1,51,0,0,0,0,0,2,128208,131152,133976,136646,145147,142651,5000,5000,4888,10700,0,10100,817780,35688,0.04364009880407934,136296.66666666666,5948.0,1,1
20000,1,2,2,34,0,0,0,0,0,-1,13730,15170,15277,13478,16978,12914,2000,2000,1000,5000,12914,600,87547,23514,0.2685871588975065,14591.166666666666,3919.0,0,0
250000,2,1,1,25,-1,-1,-1,0,0,0,4769,6720,23393,13214,8162,5138,6720,23393,6000,0,3000,18148,61396,57261,0.9326503355267444,10232.666666666666,9543.5,0,0
220000,2,1,1,49,-2,-2,-2,-2,-2,-2,0,0,0,0,4488,540,0,0,0,4488,540,0,5028,5028,1.0,838.0,838.0,0,1
50000,2,2,1,29,0,0,0,0,0,0,48529,42955,50543,49032,19830,18299,3000,9000,2000,2000,700,4000,229188,20700,0.09031886486203466,38198.0,3450.0,0,0
220000,2,1,2,30,1,2,-1,-1,0,-1,29007,23428,339,207,207,12890,0,339,500,0,12999,0,66078,13838,0.2094191712824238,11013.0,2306.3333333333335,2,0
80000,2,1,2,29,1,-1,-1,-2,-2,-2,0,80000,0,0,0,0,80000,0,0,0,0,0,80000,80000,1.0,13333.333333333334,13333.333333333334,1,0
90000,1,3,1,48,1,2,2,2,2,2,77604,73317,71334,67009,63228,59378,1700,4000,1600,1600,1500,4086,411870,14486,0.03517129191249666,68645.0,2414.3333333333335,6,0
110000,2,2,1,28,0,0,2,0,0,0,96131,106932,103381,75794,76947,79105,14000,27,4000,3000,3000,10000,538290,34027,0.06321313789964517,89715.0,5671.166666666667,1,0
160000,2,4,1,28,-1,-1,-1,-1,-1,-1,819,162,165,165,165,165,162,168,165,165,165,165,1641,990,0.603290676416819,273.5,165.0,0,0
140000,2,3,1,44,1,-1,-1,-1,-1,-1,-9,900,311,7867,1031,1117,909,311,7867,1031,1117,0,11217,11235,1.0016047071409468,1869.5,1872.5,1,0
470000,2,2,1,45,0,0,0,0,0,0,212948,188435,182687,153366,114451,122489,30000,15000,5052,5000,10000,15000,974376,80052,0.08215719599004902,162396.0,13342.0,0,0
380000,2,2,2,31,0,0,0,0,0,0,381530,385605,257188,145505,142529,229320,32640,18077,12005,10028,28888,25000,1541677,126638,0.0821430169873456,256946.16666666666,21106.333333333332,0,0
250000,2,3,1,39,0,0,0,0,0,0,18376,20070,21428,22757,24382,28768,2000,2000,2000,2000,5000,4000,135781,17000,0.12520161141838695,22630.166666666668,2833.3333333333335,0,0
80000,1,1,2,27,0,0,0,0,0,-1,74413,76817,74554,43727,16307,1755,7000,3000,1400,326,1755,0,287573,13481,0.046878531711947925,47928.833333333336,2246.8333333333335,0,0
280000,2,3,1,53,0,0,2,0,0,0,4405,7322,7043,8932,9654,10774,3000,0,2000,1000,2000,2000,48130,10000,0.2077706212341575,8021.666666666667,1666.6666666666667,1,0
430000,1,2,1,32,1,-1,-1,-2,-2,-2,0,2500,0,0,0,0,2500,0,0,0,0,0,2500,2500,1.0,416.6666666666667,416.6666666666667,1,1
480000,2,1,1,45,-1,0,-1,-1,-1,-1,17976,10928,650,1597,3750,9429,1008,650,1597,3750,9429,1000,44330,17434,0.3932776900518836,7388.333333333333,2905.6666666666665,0,0
30000,2,2,2,31,0,0,0,0,0,0,28716,26570,26829,26839,27449,25125,2000,1600,1000,1000,1000,0,161528,6600,0.04085978901490763,26921.333333333332,1100.0,0,0
50000,2,2,1,53,0,0,0,0,0,0,28509,29230,30356,31342,32644,32719,1500,1600,1498,2627,1400,1200,184800,9825,0.053165584415584416,30800.0,1637.5,0,0
240000,1,1,1,37,-2,-2,-2,-2,-2,-2,4081,7608,154353,9617,11360,3842,7644,155142,9661,11489,3870,3539,190861,191345,1.0025358768947035,31810.166666666668,31890.833333333332,0,0
300000,2,1,2,31,0,0,0,0,2,-1,43610,43280,36156,30305,30155,561,1655,1797,750,0,561,500,184067,5263,0.028592849342902314,30677.833333333332,877.1666666666666,1,0
70000,1,3,1,69,1,2,0,0,0,0,11572,11095,12109,12905,14683,15435,0,1204,1000,2000,1000,1500,77799,6704,0.08617077340325711,12966.5,1117.3333333333333,2,1
120000,2,1,2,30,0,0,0,0,0,0,170263,157881,160796,160168,156165,158850,5520,5700,5815,5500,5522,6000,964123,34057,0.035324331024153555,160687.16666666666,5676.166666666667,0,0
50000,1,1,1,50,-1,2,-1,-1,-1,-1,780,390,390,390,390,780,0,390,390,390,780,0,3120,1950,0.625,520.0,325.0,1,0
280000,1,1,2,32,0,0,0,0,0,0,4524,2625,4401,5039,6913,7350,2000,3000,3000,3000,3000,3000,30852,17000,0.5510177622196292,5142.0,2833.3333333333335,0,0
280000,2,1,1,29,0,0,0,0,0,0,58308,61024,62665,63730,57916,59122,4000,3000,2315,2103,2500,2000,362765,15918,0.04387964660317285,60460.833333333336,2653.0,0,0
30000,1,3,1,45,2,2,2,3,5,4,25161,24476,28721,31262,30217,29158,0,5000,3300,0,0,0,168995,8300,0.04911387910884937,28165.833333333332,1383.3333333333333,6,1
430000,1,1,1,34,2,2,-2,-2,-2,-2,435,-183,-525,-868,-1211,-1840,183,0,0,0,290,2512,-4192,2985,-0.7120706106870229,-698.6666666666666,497.5,2,0
280000,1,3,1,32,0,0,0,0,0,0,158798,163164,168543,172083,173850,177469,6000,7000,6762,4880,5050,5100,1013907,34792,0.03431478429481205,168984.5,5798.666666666667,0,1
90000,1,2,2,38,0,0,0,0,0,0,17621,18718,19809,20874,21228,21736,1700,1700,1700,1000,1000,1000,119986,8100,0.0675078759188572,19997.666666666668,1350.0,0,0
50000,2,2,2,39,0,0,-1,-1,0,0,25254,26366,510,16121,17539,19088,2000,510,16121,2000,2000,998,104878,23629,0.2252998722324987,17479.666666666668,3938.1666666666665,0,0
430000,1,2,1,38,-2,-2,-2,-2,-2,-2,18517,23565,34028,28407,33608,52015,23565,34028,28418,33651,52015,21000,190140,192677,1.0133428000420743,31690.0,32112.833333333332,0,0
120000,2,2,1,51,-1,-1,0,0,0,0,4777,60332,60702,58677,51549,46552,62462,2299,1919,1838,2200,90000,282589,160718,0.5687340979302096,47098.166666666664,26786.333333333332,0,0
360000,1,3,2,54,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1
220000,2,2,1,51,0,0,0,0,0,-2,36022,12838,8605,5352,-5048,-5048,3010,3040,1000,0,0,0,52721,7050,0.1337228049543825,8786.833333333334,1175.0,0,0
20000,2,2,1,29,1,2,2,2,2,2,12186,11700,13474,13006,13743,11167,0,2000,0,1055,0,215,75276,3270,0.04344014028375578,12546.0,545.0,6,0
500000,1,2,1,54,0,0,0,0,0,0,108075,106532,102315,90435,91924,81378,5014,4500,4000,4052,3007,4013,580659,24586,0.04234154641536599,96776.5,4097.666666666667,0,0
30000,1,3,2,31,0,0,0,0,0,-2,27838,28791,27788,29784,0,0,1703,1200,2196,2500,0,0,114201,7599,0.06654057319988442,19033.5,1266.5,0,1
190000,2,1,2,33,0,0,0,0,0,0,153962,161376,162437,117364,100765,112095,10000,6000,30000,5000,13000,34000,807999,98000,0.12128727882088963,134666.5,16333.333333333334,0,0
80000,2,3,1,40,0,0,0,0,0,0,18608,19583,19098,14269,14612,16945,2000,2000,1090,2300,4500,1050,103115,12940,0.1254909566988314,17185.833333333332,2156.6666666666665,0,0
40000,2,2,1,28,2,2,3,2,2,2,31131,33815,33002,32173,34629,33940,3500,0,0,3000,0,2000,198690,8500,0.04278021037797574,33115.0,1416.6666666666667,6,0
280000,2,1,2,28,-1,2,-1,-1,-1,2,5432,2146,1688,1226,6394,1626,0,1688,1226,7000,0,3146,18512,13060,0.7054883318928262,3085.3333333333335,2176.6666666666665,2,0
230000,2,2,2,31,-1,-1,0,0,0,0,10190,49777,49159,43668,42352,43099,49777,3002,1388,1511,5000,1600,238245,62278,0.2614031774014145,39707.5,10379.666666666666,0,0
380000,1,2,2,34,0,0,0,0,0,0,194314,179206,193992,174675,171253,169121,9010,35000,5000,6000,5000,4400,1082561,64410,0.059497801971436254,180426.83333333334,10735.0,0,0
130000,2,3,1,42,0,0,0,0,0,0,127524,127839,128380,97713,96245,95779,5051,5101,3600,3501,3800,3412,673480,24465,0.0363262457682485,112246.66666666667,4077.5,0,0
200000,1,2,1,36,1,-2,-1,-1,-1,-1,-1,-1,296,299,278,4575,0,297,303,279,4597,0,5446,5476,1.0055086301872935,907.6666666666666,912.6666666666666,1,0
70000,2,3,2,38,0,0,0,0,0,0,70621,69821,68683,68771,55168,49674,2506,3500,2104,2015,2001,2102,382738,14228,0.03717425497337604,63789.666666666664,2371.3333333333335,0,0
20000,1,2,1,34,0,0,0,0,0,0,17179,17815,9519,10469,14272,15033,1300,1500,1415,4000,1000,1000,84287,10215,0.12119306654644252,14047.833333333334,1702.5,0,1
80000,2,2,2,33,0,0,0,0,0,-2,25211,14863,15816,12710,0,0,1300,1210,1000,0,0,56990,68600,60500,0.8819241982507289,11433.333333333334,10083.333333333334,0,0
50000,1,2,2,45,3,2,3,2,4,3,25867,29133,28371,31208,30149,29375,4000,0,3600,0,0,0,174103,7600,0.04365232075265791,29017.166666666668,1266.6666666666667,6,1
